,Company,Title,link,Requirement since,location
52,MidAmerican Energy Company,Data Scientist 1,https://www.linkedin.com/jobs/view/data-scientist-1-at-midamerican-energy-company-3779309585?refId=zs8tLTZzZYvvIp40WKWSUg%3D%3D&trackingId=atjk7ludzEDiU%2FF7nzYDEg%3D%3D&position=6&pageNum=2&trk=public_jobs_jserp-result_search-card,3 weeks ago,"Des Moines, IA"
53,Arnex Solutions LLC,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-arnex-solutions-llc-3784843123?refId=zs8tLTZzZYvvIp40WKWSUg%3D%3D&trackingId=Yj5Pt9i0Pm9DMkzDhVzpJw%3D%3D&position=7&pageNum=2&trk=public_jobs_jserp-result_search-card,3 days ago,United States
54,InfoGravity,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-infogravity-3786739438?refId=zs8tLTZzZYvvIp40WKWSUg%3D%3D&trackingId=4fVx1AXBi7m6OwQYEsmAtw%3D%3D&position=8&pageNum=2&trk=public_jobs_jserp-result_search-card,3 weeks ago,"Philadelphia, PA"
55,Solytics Partners,Data Scientist- NLP,https://www.linkedin.com/jobs/view/data-scientist-nlp-at-solytics-partners-3779144145?refId=zs8tLTZzZYvvIp40WKWSUg%3D%3D&trackingId=itk4P4yQPwdHaZDdCI9iyA%3D%3D&position=9&pageNum=2&trk=public_jobs_jserp-result_search-card,1 week ago,"New York, United States"
56,Lumen Resources,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-lumen-resources-3784566758?refId=zs8tLTZzZYvvIp40WKWSUg%3D%3D&trackingId=%2FARssEmYkNY3QuYOUkIq8w%3D%3D&position=10&pageNum=2&trk=public_jobs_jserp-result_search-card,6 days ago,United States
57,"InVitro Cell Research, LLC",Associate Data Scientist,https://www.linkedin.com/jobs/view/associate-data-scientist-at-invitro-cell-research-llc-3779263996?refId=zs8tLTZzZYvvIp40WKWSUg%3D%3D&trackingId=H36LQNai4S5cP7Gp%2FFQ13w%3D%3D&position=11&pageNum=2&trk=public_jobs_jserp-result_search-card,1 week ago,New York City Metropolitan Area
58,DTE Energy,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-dte-energy-3781906317?refId=zs8tLTZzZYvvIp40WKWSUg%3D%3D&trackingId=zc%2By8f0dzlnd74MgCMB9qw%3D%3D&position=12&pageNum=2&trk=public_jobs_jserp-result_search-card,3 days ago,"Detroit, MI"
59,Ponce AI,Machine Learning Ops Engineer at AI image-to-image startup,https://www.linkedin.com/jobs/view/machine-learning-ops-engineer-at-ai-image-to-image-startup-at-ponce-ai-3778026950?refId=zs8tLTZzZYvvIp40WKWSUg%3D%3D&trackingId=P7DYhJaxmkukhWQy2XZ9CQ%3D%3D&position=13&pageNum=2&trk=public_jobs_jserp-result_search-card,6 days ago,"San Francisco, CA"
60,Synergis,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-synergis-3782278248?refId=zs8tLTZzZYvvIp40WKWSUg%3D%3D&trackingId=ZC71qRHY6iTsQTE7sRQ0EA%3D%3D&position=14&pageNum=2&trk=public_jobs_jserp-result_search-card,1 week ago,"Atlanta, GA"
61,Paritas Recruitment,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-paritas-recruitment-3790124856?refId=zs8tLTZzZYvvIp40WKWSUg%3D%3D&trackingId=vvGL6J9PqL6LvXNYPyTAuA%3D%3D&position=15&pageNum=2&trk=public_jobs_jserp-result_search-card,3 weeks ago,"New York, United States"
